timeExec, class, mops, benchmark, nNos, nCores
26.61
26.91
26.59
26.63
26.72
26.67
26.62
26.71
26.58
26.70
26.57
26.53
26.63
26.46
26.62
26.64
26.49
26.61
26.99
26.52
