timeExec, class, mops, benchmark, nNos, nCores
12.15
12.15
12.15
12.15
12.15
12.19
12.20
12.18
12.19
12.15
12.20
12.15
12.19
12.19
12.19
12.20
12.20
12.20
12.20
12.20
