timeExec, class, mops, benchmark, nNos, nCores
3.09
3.12
3.11
3.10
3.11
3.10
3.10
3.10
3.09
3.10
3.10
3.10
3.10
3.10
3.10
3.09
3.09
3.06
3.05
3.06
