timeExec, class, mops, benchmark, nNos, nCores
237.12
228.13
226.76
228.25
226.75
222.82
241.23
230.17
227.22
243.19
245.02
239.96
241.54
237.77
238.44
239.76
233.20
239.78
228.80
230.52
