timeExec, class, mops, benchmark, nNos, nCores
19.82
19.79
19.89
19.90
19.92
19.87
19.87
19.87
19.79
19.79
19.80
19.79
19.80
19.79
19.80
19.84
19.80
19.88
19.80
19.86
