timeExec, class, mops, benchmark, nNos, nCores
72.48
72.72
72.54
72.78
72.87
73.54
73.13
72.70
72.70
72.71
72.51
72.56
72.54
72.77
73.00
72.58
72.90
72.51
72.46
72.61
