timeExec, class, mops, benchmark, nNos, nCores
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.90
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.91
0.91
