timeExec, class, mops, benchmark, nNos, nCores
44.21
44.05
44.12
43.94
44.10
44.22
44.18
44.61
43.93
44.01
44.11
44.12
43.99
44.04
44.04
44.23
44.05
43.97
44.00
44.01
