timeExec, class, mops, benchmark, nNos, nCores
39.82
39.71
39.69
39.68
39.72
39.69
39.68
39.66
39.70
39.70
39.78
39.73
39.75
39.65
39.88
39.95
39.63
39.85
39.72
39.78
