timeExec, class, mops, benchmark, nNos, nCores
299.56
302.82
299.83
299.18
301.38
302.19
299.51
300.08
299.61
300.60
302.96
303.28
301.88
299.51
301.71
301.56
303.21
300.33
302.17
300.18
