timeExec, class, mops, benchmark, nNos, nCores
335.38
335.37
337.08
337.60
337.43
337.66
336.85
337.17
335.58
335.03
335.94
337.48
337.13
336.35
336.27
336.33
336.41
336.86
336.75
335.98
