timeExec, class, mops, benchmark, nNos, nCores
73.76
73.51
73.41
73.33
73.24
73.95
73.53
74.14
73.33
73.85
73.88
73.95
74.17
73.95
73.94
73.34
73.29
73.37
73.39
73.88
