timeExec, class, mops, benchmark, nNos, nCores
3.10
3.09
3.09
3.10
3.08
3.09
3.09
3.09
3.08
3.07
3.43
3.08
3.08
3.08
3.08
3.07
3.08
3.08
3.07
3.08
