timeExec, class, mops, benchmark, nNos, nCores
83.17
83.64
83.67
83.79
83.78
83.68
83.79
82.74
82.52
82.60
82.53
82.45
82.95
83.01
83.13
83.17
83.14
82.95
82.70
82.57
