timeExec, class, mops, benchmark, nNos, nCores
297.44
298.06
296.26
296.01
297.82
298.12
300.81
300.49
297.68
297.73
298.24
299.88
297.88
296.80
297.89
299.80
296.02
295.96
299.74
299.88
