timeExec, class, mops, benchmark, nNos, nCores
79.39
78.90
79.45
79.49
78.88
79.51
79.93
79.37
79.39
79.41
79.40
79.36
78.99
79.88
79.34
79.40
79.52
78.93
79.38
79.35
