timeExec, class, mops, benchmark, nNos, nCores
3.41
3.41
3.41
3.42
3.40
3.40
3.40
3.39
3.45
3.40
3.40
3.41
3.40
3.40
3.40
3.40
3.40
3.40
3.40
3.40
