timeExec, class, mops, benchmark, nNos, nCores
79.51
79.50
79.57
79.83
79.41
79.36
79.53
79.54
79.61
79.35
79.44
79.69
79.50
79.80
79.39
79.39
79.44
79.42
79.50
79.62
