timeExec, class, mops, benchmark, nNos, nCores
54.08
54.11
54.34
54.48
54.36
54.26
54.27
54.40
54.37
54.73
54.55
54.59
54.38
54.39
54.39
54.84
54.79
54.44
54.78
54.41
