timeExec, class, mops, benchmark, nNos, nCores
56.92
56.96
56.86
56.91
56.85
57.04
56.91
56.96
57.04
56.99
57.03
57.05
57.07
57.05
56.99
57.14
57.06
57.15
56.96
56.93
