timeExec, class, mops, benchmark, nNos, nCores
56.63
56.99
56.64
56.34
56.32
56.25
56.23
56.51
57.34
57.42
57.07
56.40
57.15
56.80
56.47
57.11
57.37
56.75
57.41
57.49
