timeExec, class, mops, benchmark, nNos, nCores
82.85
83.38
82.37
82.60
82.97
82.44
82.93
82.91
82.73
82.56
82.21
83.31
82.90
82.92
82.98
83.10
82.29
82.64
82.74
82.67
