timeExec, class, mops, benchmark, nNos, nCores
43.83
43.86
43.73
43.93
43.91
43.59
44.08
43.94
44.15
43.92
43.85
43.66
43.95
43.75
43.88
43.92
43.89
43.85
43.96
43.93
