timeExec, class, mops, benchmark, nNos, nCores
19.93
19.88
19.92
19.95
19.87
19.96
19.94
19.90
19.87
19.97
19.89
19.87
19.90
19.96
19.86
19.87
19.88
19.88
19.87
19.98
