timeExec, class, mops, benchmark, nNos, nCores
73.59
73.49
73.91
73.36
73.72
73.40
73.45
73.44
73.43
73.88
73.46
73.43
73.43
73.41
73.23
73.39
73.20
73.42
73.43
73.52
