timeExec, class, mops, benchmark, nNos, nCores
25.14
25.05
25.05
25.19
25.07
25.11
25.20
25.09
25.21
25.25
25.10
25.12
25.07
25.22
25.15
25.08
25.14
25.16
25.14
25.06
