timeExec, class, mops, benchmark, nNos, nCores
91.79
91.79
91.77
91.81
91.86
91.99
91.80
91.82
91.85
91.74
91.85
91.82
91.85
91.82
91.70
91.84
91.81
91.93
91.90
91.80
