timeExec, class, mops, benchmark, nNos, nCores
31.66
31.46
31.34
31.54
31.46
31.46
31.37
31.49
31.64
31.57
31.90
31.54
31.47
31.49
31.58
31.57
31.68
31.59
31.75
31.58
