timeExec, class, mops, benchmark, nNos, nCores
3.49
3.49
3.50
3.49
3.50
3.50
3.50
3.50
3.51
3.50
3.51
3.50
3.50
3.50
3.51
3.50
3.51
3.53
3.50
3.50
