timeExec, class, mops, benchmark, nNos, nCores
54.34
54.75
54.47
54.48
54.64
54.74
54.62
54.77
54.58
54.45
54.39
54.62
54.60
55.03
54.35
54.65
54.47
54.67
55.02
54.46
