timeExec, class, mops, benchmark, nNos, nCores
13.29
13.27
13.21
13.25
13.20
13.25
13.28
13.26
13.24
13.23
13.21
13.21
13.26
13.24
13.20
13.19
13.29
13.26
13.30
13.31
