timeExec, class, mops, benchmark, nNos, nCores
134.16
137.16
134.15
137.50
139.90
134.10
137.19
137.17
137.51
137.57
134.12
137.54
134.84
137.52
137.17
134.20
137.59
137.49
134.16
139.96
