timeExec, class, mops, benchmark, nNos, nCores
335.46
333.82
336.75
334.01
334.08
335.62
336.73
335.92
333.90
336.87
335.85
334.20
335.36
337.19
336.73
333.96
334.56
334.14
335.43
337.37
